Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
FUL v EVE,2,0,0,0,0,12,8,5,1,8,10,7,3,2,1,0,0,1,2
MU v WHM,2,1,1,0,1,14,18,4,4,14,5,3,11,1,1,0,0,1,3
SOU v WOL,3,1,2,1,1,13,17,6,2,13,8,4,9,1,3,0,0,1,4
TOT v HUD,4,0,2,0,1,22,7,5,1,10,12,4,2,2,2,0,0,1,4
CRY v MC,1,3,0,1,-1,7,20,3,6,5,11,2,9,0,0,0,0,-1,4
LIV v CHE,2,0,0,0,0,15,6,7,3,5,9,9,2,0,1,0,0,1,2
WAT v ARS,0,1,0,1,-1,11,19,3,6,12,8,6,4,2,0,1,0,-1,1
BRI v CAR,0,2,0,1,-1,14,10,2,3,11,13,5,4,0,1,0,0,-1,2
BOU v FUL,0,1,0,0,0,15,17,5,5,11,18,3,7,1,3,0,0,-1,1
HUD v WAT,1,2,0,1,-1,13,11,3,6,15,9,2,2,2,2,0,0,-1,3
MC v TOT,1,0,1,0,1,15,10,4,4,11,11,4,4,1,2,0,0,1,1
NEW v SOU,3,1,2,0,1,15,15,6,3,5,11,4,11,0,2,0,0,1,4
WHM v LEI,2,2,1,0,1,11,11,3,5,8,9,6,8,2,0,0,0,0,4
WOL v BRI,0,0,0,0,0,22,5,5,0,0,8,14,1,0,1,0,0,0,0
ARS v CRY,2,3,0,1,-1,12,16,5,7,15,12,8,3,4,1,0,0,-1,5
